Titre	Lien	Date
Ouverture des inscriptions aux Journées BiblioPat 2017	http://www.bibliopat.fr/actualite-BiblioPat/ouverture-des-inscriptions-aux-journees-bibliopat-2017	Mon, 25 Sep 2017 14:43:04 +0000
TEAM @BiblioPat_fr : ça gazouille	http://www.bibliopat.fr/actualite-BiblioPat/team-bibliopatfr-ca-gazouille	Wed, 08 Feb 2017 15:14:34 +0000
Voeux de l'association	http://www.bibliopat.fr/actualite-BiblioPat/voeux-de-lassociation	Mon, 16 Jan 2017 16:51:02 +0000
"Visites guidées de l'exposition ""Des livres et des lettres"" (Bib. Mazarine)"	http://www.bibliopat.fr/actualite-BiblioPat/visites-guidees-de-lexposition-des-livres-et-des-lettres-bib-mazarine	Sat, 19 Nov 2016 13:57:53 +0000
Participez aux concours pour les 10 ans de BiblioPat	http://www.bibliopat.fr/actualite-BiblioPat/participez-aux-concours-pour-les-10-ans-de-bibliopat	Tue, 25 Oct 2016 09:16:23 +0000
Ouverture des inscriptions aux Journées BiblioPat 2016	http://www.bibliopat.fr/actualite-BiblioPat/ouverture-des-inscriptions-aux-journees-bibliopat-2016	Mon, 10 Oct 2016 12:41:54 +0000
Meilleurs voeux 2016	http://www.bibliopat.fr/actualite-BiblioPat/meilleurs-voeux-2016	Fri, 29 Jan 2016 07:15:59 +0000
Journées BiblioPat 2015 en images	http://www.bibliopat.fr/actualite-BiblioPat/journees-bibliopat-2015-en-images	Fri, 13 Nov 2015 10:12:43 +0000
Fin de l'ouverture des contenus aux abonnés	http://www.bibliopat.fr/actualite-BiblioPat/fin-de-louverture-des-contenus-aux-abonnes	Thu, 30 Apr 2015 16:40:11 +0000
"Visite guidée de l'exposition ""De l'argile au nuage : une archéologie des catalogues"""	http://www.bibliopat.fr/actualite-BiblioPat/visite-guidee-de-lexposition-de-largile-au-nuage-une-archeologie-des-catalogues	Tue, 14 Apr 2015 15:05:28 +0000
